class,raw_relative_path,error_type,error
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_401.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_401.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_402.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_402.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_403.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_403.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_404.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_404.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_405.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_405.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_406.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_406.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_407.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_407.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_408.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_408.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_409.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_409.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_410.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_410.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_411.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_411.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_412.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_412.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_413.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_413.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_414.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_414.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_415.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_415.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_416.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_416.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_417.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_417.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_418.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_418.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_419.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_419.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_420.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_420.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_421.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_421.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_422.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_422.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_423.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_423.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_424.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_424.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_425.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_425.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_426.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_426.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_427.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_427.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_428.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_428.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_429.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_429.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_430.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_430.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_431.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_431.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_432.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_432.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_433.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_433.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_434.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_434.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_435.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_435.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_436.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_436.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_437.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_437.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_438.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_438.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_439.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_439.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_440.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_440.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_491.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_491.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_492.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_492.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_493.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_493.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_494.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_494.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_495.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_495.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_496.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_496.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_497.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_497.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_498.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_498.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_499.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_499.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_500.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_500.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_501.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_501.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_502.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_502.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_503.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_503.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_504.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_504.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_505.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_505.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_506.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_506.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_507.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_507.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_508.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_508.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_509.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_509.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_510.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_510.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_511.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_511.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_512.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_512.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_513.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_513.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_514.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_514.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_515.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_515.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_516.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_516.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_517.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_517.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_518.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_518.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_519.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_519.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_520.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_520.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_521.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_521.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_522.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_522.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_523.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_523.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_524.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_524.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_525.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_525.jpg'
